density,velocity
0.088,0.915
0.177,0.881
0.354,0.817
0.531,0.758
0.708,0.704
0.885,0.655
1.062,0.610
1.239,0.569
1.416,0.532
1.593,0.498
1.770,0.468
1.947,0.441
2.124,0.417
2.301,0.396
2.478,0.377
2.655,0.360
2.832,0.345
3.009,0.333
3.186,0.321
3.363,0.312
3.540,0.303
3.717,0.296
3.894,0.290
4.071,0.284
4.248,0.279
4.425,0.275
4.602,0.271
4.779,0.268
4.956,0.264
5.133,0.261
5.310,0.258
5.487,0.255
5.664,0.251
5.841,0.247
6.018,0.243
6.195,0.239
6.372,0.234
6.549,0.228
6.726,0.222
6.903,0.215
7.080,0.208
7.257,0.200
7.434,0.191
7.611,0.182
7.788,0.172
7.965,0.162
8.142,0.151
