#rho[1/mÂ²]  v[m/s]

0.0386542   1.46671
0.0518545   1.35483
0.0590174   1.52959
0.0774875   1.44717
0.0880273   1.50609
0.10706     1.46687
0.175134    1.4415
0.199846    1.46315
0.21742     1.31202
0.24313     1.41024
0.263084    1.4417
0.281477    1.35339
0.281963    1.3907
0.287259    1.42212
0.292913    1.48104
0.297364    1.44767
0.331823    1.46738
0.335865     1.4026
0.336095    1.42027
0.40051     1.48914
0.404987    1.45773
0.433664    1.40872
0.437552    1.33215
0.443181    1.3891
0.448629    1.43231
0.472088    1.35776
0.536196    1.40306
0.540468    1.35595
0.570143    1.3835
0.633459    1.36794
0.643026    1.35226
0.667124    1.32679
0.78452     1.33688
0.837935    1.31147
0.964181    1.2509
1.00828     1.26082
1.07298     1.35128
1.10153     1.29244
1.12054     1.25126
1.12087     1.27678
1.29951     1.11227
1.37382     1.19097
1.41516     0.988844
1.43005     1.00655
1.44169     1.1499
1.51997     1.15793
1.59603     0.995148
1.84233     0.773854
1.85927     0.948631
1.89608     0.773977
2.03831     0.815533
2.06796     0.841124
2.08231     0.817597
2.21311     0.731509
2.33025     0.721961
2.36029     0.777003
2.72511 0.652184
3.64836 0.636629
4.21252 0.435696
4.57806 0.365853
4.58325 0.389425
4.78327 0.366323
4.91523 0.368589
4.94495 0.40007
4.95892 0.347092
4.96902 0.372638
5.14521 0.394639
5.32991 0.320455
5.33505 0.3401
5.3393 0.291026
5.53016 0.315023
6.07186 0.265217
