#
# w = 1,22 m 
# rho[P/m²]   v[m/s]
  0.381130  0.887303
  0.303415  1.584112
  0.292324  1.682240
  0.397854  1.536633
  0.655606  1.158058
  0.792910  1.105116
  0.758739  1.156578
  0.744677  1.178749
  0.771863  1.137571
  0.899411  1.080804
  0.813035  1.197201
  0.932530  1.103438
  0.631597  1.629237
  0.643411  1.599935
  0.626598  1.652954
  0.626356  1.720020
  1.011860  1.139934
  0.767185  1.509707
  1.010316  1.184031
  0.742641  1.625037
  1.130128  1.105329
  0.848735  1.487723
  1.211479  1.113460
  0.951595  1.481327
  1.197143  1.223651
#
# w = 1,83 m 
# rho[P/m²]   v[m/s] 
  0.713263  0.574891
  1.187446  0.449851
  1.925851  0.326564
  0.761031  0.871955
  1.722021  0.388100
  0.917465  0.728599
  1.171625  0.573376
  1.000860  0.671564
  1.052270  0.639097
  0.887251  0.759453
  1.125683  0.638826
  1.817777  0.396506
  1.304161  0.555649
  1.189316  0.618930
  1.204724  0.636175
  1.918939  0.402542
  2.143019  0.360571
  1.345654  0.574373
  1.649848  0.483953
  1.273191  0.631210
  1.389595  0.580513
  1.122058  0.722234
  1.706909  0.479088
  1.711616  0.485350
  1.312471  0.639710
  1.535510  0.547060
  2.007356  0.419558
  2.141804  0.393423
  1.699905  0.496360
  1.832090  0.460724
  1.220096  0.692734
  1.620646  0.521690
  1.776988  0.482815
  1.778518  0.494570
  1.340146  0.657681
  1.218157  0.731271
  1.316535  0.680562
  1.816658  0.495244
  1.722707  0.524521
  1.362985  0.669380
  1.476176  0.636755
  1.350705  0.696928
  1.633417  0.602448
  1.342465  0.736249
  1.509214  0.658614
  1.455378  0.683160
  2.186917  0.457442
  2.044198  0.489903
  1.799843  0.556421
  1.940946  0.517600
  1.399384  0.717943
  1.353027  0.743276
  1.660067  0.607063
  1.501526  0.673559
  1.384180  0.736859
  1.877963  0.556954
  1.634843  0.641665
  1.371042  0.784051
  1.828021  0.590023
  1.477272  0.730182
  1.872768  0.603189
  1.634129  0.691871
  1.846206  0.620516
  1.605892  0.731997
  1.951249  0.620925
  1.670446  0.728587
  1.900448  0.664186
  1.598311  0.795580
#
# w = 2,14 m 
# rho[P/m²]   v[m/s]
  0.136383  1.360931
  0.209575  1.296293
  0.218808  1.245608
  0.206177  1.458455
  0.202409  1.490916
  0.217451  1.392718
  0.277826  1.238858
  0.343977  1.096130
  0.283048  1.333689
  0.274161  1.397797
  0.415589  0.967704
  0.349638  1.156154
  0.405643  0.999360
  0.333224  1.219494
  0.327875  1.240078
  0.278481  1.461008
  0.343693  1.185434
  0.311564  1.309755
  0.287910  1.419031
  0.301931  1.399944
  0.299600  1.423676
  0.400665  1.067332
  0.459627  0.936655
  0.333064  1.302478
  0.369249  1.178938
  0.340733  1.278713
  0.398583  1.093416
  0.417290  1.062489
  0.304623  1.501890
  0.399725  1.151079
  0.329672  1.397348
  0.410876  1.122568
  0.340793  1.354581
  0.463559  0.998235
  0.366514  1.266668
  0.320895  1.531786
  0.347522  1.438298
  0.386093  1.307611
  0.480277  1.058942
  0.365508  1.438148
  0.383198  1.375581
  0.378199  1.404068
  0.405786  1.311412
  0.515980  1.036619
  0.431669  1.283568
  0.443159  1.251101
  0.370741  1.498947
  0.459947  1.209121
  0.452461  1.232868
  0.382070  1.460923
  0.441161  1.266912
  0.405486  1.401475
  0.457516  1.249417
  0.446503  1.282668
  0.396732  1.448158
  0.506566  1.150369
  0.447895  1.303195
  0.438828  1.332487
  0.384566  1.524109
  0.455152  1.314196
  0.521919  1.149478
  0.502168  1.238041
  0.459702  1.356808
  0.553921  1.127954
  0.442001  1.422505
  0.437019  1.439133
  0.514289  1.225322
  0.573421  1.104149
  0.574323  1.144394
  0.506696  1.301963
  0.515969  1.283733
  0.569451  1.163368
  0.634328  1.044588
  0.524620  1.266302
  0.513407  1.314544
  0.583700  1.156960
  0.528208  1.279695
  0.567551  1.230471
  0.564018  1.252595
  0.519517  1.365024
  0.587729  1.209807
  0.730311  0.976985
  0.582538  1.229574
  0.552911  1.312665
