#
# w = 1.22 m
# J_s [P/ft min]  v [ft/s]
#
   6.18866   2.90919
   8.79577   5.19381
    8.9992   5.51554
   11.1878   5.03814
   13.8939   3.79691
   16.0355   3.62333
    16.059   3.79206
   16.0635   3.86475
   16.0683   3.72974
   17.7892   3.54362
   17.8126   3.92525
   18.8305   3.61783
   18.8311   5.34176
   18.8383   5.24569
    18.954   5.41952
   19.7154   5.63941
   21.1082   3.73749
   21.1955   4.94986
   21.8913   3.88207
   22.0848   5.32799
   22.8597   3.62403
   23.1071   4.87778
   24.6855   3.65069
   25.7961   4.85681
   26.8074   4.01197
#
# w = 1.83 m
# J_s [P/ft min]  v [ft/s]
#
   7.50389   1.88489
   9.77537   1.47492
   11.5091    1.0707
   12.1436   2.85887
   12.2302   1.27246
   12.2329   2.38885
   12.2936   1.87992
   12.3002   2.20185
   12.3068    2.0954
    12.331   2.49001
   13.1598   2.09451
   13.1899   1.30002
   13.2612    1.8218
   13.4707   2.02928
   14.0254   2.08582
   14.1359   1.31981
   14.1406    1.1822
   14.1442   1.88319
   14.6116   1.58673
   14.7068   2.06954
   14.7622   1.90332
   14.8301   2.36798
    14.965   1.57078
   15.2024   1.59131
   15.3647   2.09741
   15.3723   1.79364
   15.4123    1.3756
   15.4202   1.28991
   15.4409   1.62741
   15.4468   1.51057
   15.4672   2.27126
   15.4722   1.71046
   15.7006     1.583
   16.0967   1.62154
   16.1294   2.15633
   16.3017   2.39761
   16.3965   2.23135
   16.4643   1.62375
   16.5358   1.71974
   16.6961   2.19469
   17.2013   2.08772
   17.2266   2.28501
   18.0081   1.97524
   18.0875   2.41393
     18.19   2.15939
   18.1949   2.23987
   18.3071   1.49981
   18.3267   1.60624
   18.3269   1.82433
   18.3848   1.69705
   18.3856   2.35391
   18.4038   2.43697
   18.4421   1.99037
    18.508   2.20839
    18.665   2.41593
   19.1407   1.82608
   19.1971   2.10382
   19.6719   2.57066
   19.7379    1.9345
   19.7398   2.39404
   20.6723   1.97767
   20.6901   2.26843
   20.9645   2.03448
   21.5118   2.39999
   22.1719   2.03582
   22.2723   2.38881
   23.0992   2.17766
     23.27   2.60846
#
# w = 1.22 m
# J_s [P/ft min]  v [ft/s]
#
   3.39663   4.46207
   4.97157   4.25014
   4.98764   4.08396
   5.50282   4.78182
   5.52247   4.88825
   5.54212   4.56629
   6.29862   4.06183
   6.89989   3.59387
   6.90822   4.37275
   7.01295   4.58294
   7.35966    3.1728
    7.3975   3.79067
   7.41851   3.27659
   7.43647   3.99834
    7.4406   4.06583
   7.44559   4.79019
   7.45588   3.88667
   7.46772   4.29428
   7.47653   4.65256
   7.73517   4.58998
   7.80555   4.66779
   7.82586   3.49945
   7.87836     3.071
    7.9387   4.27042
   7.96638   3.86537
   7.97329    4.1925
   7.97546   3.58497
    8.1136   3.48357
   8.37244   4.92423
   8.42011   3.77403
   8.43019   4.58147
   8.44063   3.68055
   8.44785   4.44125
   8.46816    3.2729
   8.49581   4.15301
   8.99524   5.02225
   9.14707   4.71573
   9.23894   4.28725
   9.30712   3.47194
   9.61948   4.71524
   9.64629    4.5101
   9.71762    4.6035
   9.73839   4.29971
    9.7882   3.39875
   10.1396   4.20842
   10.1462   4.10197
   10.1697   4.91458
   10.1772   3.96433
   10.2082   4.04219
   10.2146   4.78991
   10.2281   4.15381
   10.3995     4.595
   10.4608   4.09645
   10.4807   4.20547
   10.5139   4.74806
   10.6641    3.7717
   10.6816   4.27277
   10.7006   4.36881
    10.726   4.99708
   10.9463   4.30884
   10.9788   3.76878
   11.3772   4.05915
   11.4142   4.44855
   11.4338   3.69821
   11.5061   4.66395
   11.5094   4.71847
   11.5321   4.01745
   11.5865   3.62016
   12.0277   3.75211
   12.0725   4.26873
   12.1213   4.20896
   12.1234   3.81432
   12.1258   3.42488
   12.1572   4.15181
   12.3506   4.30998
   12.3583   3.79331
   12.3698   4.19572
   12.7799   4.03433
   12.9287   4.10687
   12.9775   4.47549
    13.012   3.96658
   13.0571   3.20323
   13.1078   4.03139
   13.2819   4.30382
    13.449   4.24653
   13.9993   4.44587
   14.1211   4.07707
   14.1933   4.39893
   14.3093   3.50829
   14.5768   4.23237
   14.6972    4.0557
   14.7434   4.16729
    14.771   3.97514
   14.7757    4.6943
   14.7864   3.79858
   14.8822   4.50467
   14.9468   4.91741
   15.2769   3.87855
    15.293   4.14076
   15.3194   4.78721
   15.3599   3.94857
    15.366   4.04722
   15.9938   4.65669
   16.1475   4.59422
   16.4473   3.70339
   16.4606   4.77823
   16.4775   3.76826
    16.484    3.8747
   16.4874   3.92922
   16.9654    3.8067
   17.1759   4.88653
   17.2806   4.45285
   17.5006   3.75941
   17.7769   4.20049
   18.3072   6.00176
    18.324   3.70403
   18.7454   5.01472
#
# b = 2.44 m
# J_s [P/ft min]  v [ft/s]
#
   2.45045   4.65518
   6.56098   4.70284
   7.13709   5.10985
   7.15625   5.20849
   7.19682   5.01373
   7.92676    4.5041
   8.35558   4.64905
   8.67466   4.71622
   8.69907   4.90053
   9.39845    5.1776
   9.42828    5.0218
   9.52053   5.24238
    9.6996   3.66626
   9.90722   4.69936
   10.0109   3.60622
   10.3681   4.72484
   10.5751   4.89079
   10.6027   4.69864
   10.7669   3.52235
   11.2605   4.51102
   12.2193   4.09462
   12.2351   4.56713
    12.309   4.70206
   12.3285   3.52073
   12.3817   4.81882
   12.5279   4.63433
   12.9831   3.70958
   13.2201   4.79458
   13.4472   4.85925
   13.8377    5.2353
   13.9094   5.12099
   14.2851   3.75496
   14.3548    3.6069
   14.4784   3.69764
   14.8605   3.50772
   14.9125   4.35665
   14.9212   4.28394
   15.0875   3.57239
   15.3648   4.67033
   15.4224   4.54045
   15.4972   5.33224
   15.6159   3.62896
   15.6514   4.63628
   15.7476   4.49338
   16.1871   4.81227
    16.518   4.85866
   17.1052   3.73126
     17.18   4.52565
   17.7798   3.81884
   18.0765   3.51996
   18.3576   3.61053
   18.6825   4.41504
   18.7599   3.32193
   20.3251    3.8084
   20.4127   3.52532
