#Shopping Streets

#rho[1/m²]  v[m/s]

0.65        0.95
1.15        0.75
1.4         0.65
0.8         1.1
1.2         0.8
1.6         0.6
1           0.8
1.35        0.65
1.4         0.7
1.3         0.75
1.4         0.7
1.5         0.7
1.6         0.55
0.6         0.8
1.4         0.65
1           0.7
1.6         0.65
1.1         0.7
1.8         0.55
1.3         0.7


#Mixed Work Traffic

#rho[1/m²]  v[m/s]

0.68        1.34
0.15        1.65
0.20        1.45
0.30        1.50
0.35        1.45
0.40        1.40
0.48        1.40
0.55        1.35
0.60        1.30
0.90        1.1
1.1         0.95
1.4         1.1
1.5         1.1
1.6         0.9
1.65        0.85
1.7         0.8
2.0         0.77
2.1         0.6
2.5         0.7
2.6         0.6
1.3         1.1
1.3         1.2
1.4         1
1.5         1.25
1.55        1.15
1.64        1.06
1.7         1
1.9         0.85
0.55        1.45
0.95        1.25
1.2         1.15
1.2         1.1
1.4         0.9
1.5         1
1.55        0.95
1.85        0.85
0.65        1.3
0.8         1.3
0.8         1.4
0.4         1.35
0.5         1.4
0.4         1.45
0.58        1.3
0.4         1.5
0.75        1.28
0.45        1.55
0.9         1.2
0.65        1.35
0.75        1.5



#Events

#rho[1/m²]  v[m/s]

0.17        1.65
0.6         1.2
0.75        1.05
1.5         0.75
1.75        0.8
0.9         1.5
2           0.5
0.4         1.35
0.7         1.15
0.85        1.3
1.6         0.7
1.75        0.5
1.5         0.95
2.2         0.5 
0.5         1.15
0.85        1.1
1.05        1.05
1.6         0.6
1.8         0.6
0.55        1.3
0.9         1
1.3         0.85
1.62        0.58
1.9         0.55
1.25        0.7
2.7         0.45
1.3         0.9
1.65        0.7
2.1 0       0.45




#Factories

#rho[1/m²]  v[m/s]

0.5         1.5 
0.79        1.42
0.5         1.3
0.8         1.25
0.55        1.55
0.88        1.37
0.6         1.35
0.8         1.2
0.55        1.43
0.6         1.25
0.85        1.25
0.78        1.32
0.7         1.3
1           1.15
0.5         1.7 
0.7         1.55 
0.9         1.35
0.6         1.6
0.75        1.15
0.9         1.25
0.6         1.5
0.8         1.25
1           1.2
0.7         1.35
0.85        1.55
1.1         1.05
