# w = 2.29 m 

#rho[1/m²]    v[m/s]
0.0175080438  1.7447055
0.11091725    0.762082395
0.116513271   1.40508408
0.229774844   1.09658616
0.238448192   1.34172454
0.281396228   1.3175597
0.335119753   1.32954153
0.358618951   1.13842047
0.371774283   1.18920686
0.458207461   1.18843876
0.468573931   1.17473783
0.469032463   1.28083695
0.57169507    1.16164956
0.578887341   1.20464822
0.584875159   1.26914163
0.706704596   1.37910566
0.710265211   1.20121308
0.718376697   1.34208421
0.813925609   1.12136061
0.821219058   1.16253044
0.825646146   1.25491644
0.914999502   1.14485488
0.920989473   1.03785354
0.926414352   1.11240548
1.02826       0.83635696
1.0425143     0.981809284
1.0553112     1.03899351
1.13329384    1.0747988
1.14796469    1.04143803
1.24678575    0.876514847
1.2619625     1.00550472
1.35085948    0.846506923
1.36567026    1.03906361
1.49664234    0.814286124
1.49840758    0.782732845
1.60920858    0.918288193
1.65218783    0.893666151
1.75879101    0.81839183
1.88645865    0.766928774
1.98297629    0.700326118


# w = 3.14 m 

#rho[1/m²]  v[m/s]
1.54476661  0.583421708
1.84176798  0.47920018
1.9548724   0.459269066
2.05438234  0.853648473
2.15863904  0.420287721
2.19316883  0.375070093
2.19766803  0.408921592
2.20411546  0.522345143
2.36126473  0.572918172
2.38292119  0.700548624
2.45988128  0.525981451
2.47209803  0.422192744
2.47639272  0.402532906
2.53813301  0.0998933155
2.5613502   0.371122885
2.5807463   0.310332836
2.58862529  0.340986944
2.7185533   0.249286447
2.72059839  0.612859649
2.7304256   0.0371101549
2.76605328  0.372384772
2.77017576  0.355928421
2.77463191  0.276363378
2.84317483  0.252242128
2.85095694  0.284725058
2.85210865  0.321311865
3.00881662  0.322494503
3.00931175  0.199475122
3.01928965  0.249797298
3.15696748  0.24820226
3.19077611  0.387283577
3.20413379  0.262916658
3.30607631  0.27086411
3.39001125  0.143414711
3.48772365  0.169647946
3.49223362  0.317827959
3.52529955  0.127180866
3.52824879  0.188924342
3.60095724  0.147431719
3.60244262  0.178074549
3.61813603  0.240754077
3.67557086  0.129265724
3.68610847  0.169527854
3.87503204  0.281434702
3.87538724  0.160702872
3.87546258  0.387990722
3.87718477  0.128693607
4.11613777  0.146935194
4.18293698  0.268238531
4.19268884  0.208346128
4.43233073  0.214241337


#w = 3.75 m 

#rho[1/m²]  v[m/s]
0.0661480048 1.04737561
0.176942549 1.46875453
0.217261026 0.9772037
0.273055477 1.12364054
0.32800821  1.11367346
0.381910412 1.12245485
0.408657003 1.10192023
0.454626395 1.02379599
0.485775319 1.03894169
0.573718636 1.06835829
0.585468236 0.972799286
0.668778879 1.0278194
0.724242886 1.00870516
0.789176751 0.991895238
0.840187836 0.99518407
0.852319545 0.949929865
0.935503177 0.950070075
0.976096127 0.967977292
1.04115916  0.948878292
1.06767648  0.818129698
1.1015626   0.784345257
1.13765312  0.882732842
1.21835896  0.755733334
1.25105892  0.857315262
1.3618384   0.76466713
1.41193242  0.670086543
1.41837985  0.612018391
1.54840472  0.518489376
1.57158962  0.790176151
1.71750165  0.698503392
2.51463597  0.519672015
