#w = 7.5 ft

#rho[P/ft²]  v[ft/s]
 0.00162659   5.72403
 0.0103048   2.50024
 0.0108247    4.6098
 0.0213473   3.59768
 0.0221531   4.40193
 0.0261432   4.32265
 0.0311344   4.36196
 0.0333176   3.73493
 0.0345398   3.90155
 0.0425699   3.89903
  0.043533   3.85408
 0.0435756   4.20217
 0.0531135   3.81114
 0.0537817   3.95221
  0.054338    4.1638
 0.0656566   4.52457
 0.0659874   3.94094
  0.066741   4.40311
  0.075618   3.67896
 0.0762956   3.81403
 0.0767069   4.11713
 0.0850083   3.75604
 0.0855648   3.40499
 0.0860688   3.64958
 0.0955308   2.74392
 0.0968551   3.22112
  0.098044   3.40873
  0.105289    3.5262
  0.106652   3.41675
  0.115833   2.87567
  0.117243   3.29886
  0.125502   2.77722
  0.126878   3.40896
  0.139046   2.67151
   0.13921   2.56799
  0.149504   3.01272
  0.153497   2.93194
  0.163401   2.68498
  0.175262   2.51614
  0.184229   2.29763


#w = 10.3 ft
#
# r[P/ft²]  v[ft/s]
  0.143517  1.914090
  0.171110  1.572160
  0.181618  1.506770
  0.190863  2.800650
  0.200549  1.378880
  0.203757  1.230530
  0.204175  1.341590
  0.204774  1.713710
  0.219374  1.879630
  0.221386  2.298360
  0.228536  1.725640
  0.229671  1.385130
  0.230070  1.320630
  0.235806  0.327730
  0.237963  1.217580
  0.239765  1.018140
  0.240497  1.118710
  0.252568  0.817859
  0.252758  2.010670
  0.253671  0.121751
  0.256981  1.221720
  0.257364  1.167730
  0.257778  0.906693
  0.264146  0.827556
  0.264869  0.934126
  0.264976  1.054160
  0.279535  1.058040
  0.279581  0.654438
  0.280508  0.819535
  0.293299  0.814302
  0.296440  1.270600
  0.297681  0.862577
  0.307152  0.888651
  0.314950  0.470515
  0.324028  0.556581
  0.324447  1.042730
  0.327519  0.417255
  0.327793  0.619823
  0.334548  0.483694
  0.334686  0.584227
  0.336144  0.789866
  0.341480  0.424095
  0.342459  0.556187
  0.360011  0.923331
  0.360044  0.527234
  0.360051  1.272920
  0.360211  0.422218
  0.382411  0.482065
  0.388617  0.880037
  0.389523  0.683542
  0.411787  0.702883


#w = 12.3 ft
#
# r[P/m²]    v[ft/s]
 0.0061455   3.43623
 0.0164389   4.81869
 0.0201847   3.20601
 0.0253683   3.68644
 0.0304737   3.65374
 0.0354815   3.68255
 0.0379664   3.61518
 0.0422372   3.35887
 0.0451311   3.40856
 0.0533015   3.50507
 0.0543931   3.19156
 0.0621331   3.37207
  0.067286   3.30936
 0.0733187   3.25421
 0.0780579     3.265
  0.079185   3.11653
 0.0869132   3.11699
 0.0906845   3.17574
 0.0967292   3.11308
 0.0991928   2.68412
  0.102341   2.57328
  0.105694   2.89607
  0.113192   2.47941
   0.11623   2.81268
  0.126522   2.50872
  0.131176   2.19842
  0.131775   2.00791
  0.143855   1.70106
  0.146009   2.59241
  0.159565   2.29165
  0.233623   1.70494
