#London subway
#
#Density[P/ft²]  Velocity[mile/h] 
 0.00369495   3.61595
 0.0106402   3.61604
 0.0156563   3.61611
 0.0214463    3.6123
  0.028396   3.60463
 0.0349577   3.60084
 0.0419142   3.58153
 0.0461698   3.56219
 0.0500418   3.53896
 0.0527629   3.50408
 0.0551005   3.46531
 0.0574313   3.43818
 0.0601614   3.38778
  0.062499   3.34901
 0.0652201   3.31413
 0.0671763    3.2676
 0.0698997   3.22884
 0.0718514   3.19007
 0.0741867   3.15518
 0.0769101   3.11642
 0.0792477   3.07765
 0.0819688   3.04277
 0.0843019   3.01176
 0.0870208   2.98076
 0.0885821   2.94974
 0.0905316   2.91485
 0.0928647   2.88384
 0.0952045   2.84119
 0.0971562   2.80242
 0.0998796   2.76366
  0.102598   2.73266
  0.104552      2.69
   0.10689   2.65124
  0.109613   2.61247
  0.111177   2.57758
  0.114282   2.54658
  0.116233   2.50781
  0.118955   2.47293
   0.12129   2.43804
   0.12363   2.39539
  0.126353   2.35663
  0.129076   2.31787
  0.131416   2.27522
   0.13414   2.23646
  0.137249    2.1977
  0.139591   2.15117
  0.141926   2.11629
  0.145426   2.06978
  0.148533    2.0349
  0.151642   1.99614
  0.155144   1.94575
  0.158253   1.90699
  0.161362   1.86824
  0.164088   1.82559
  0.166802   1.80235
  0.169912   1.76359
  0.173405   1.72872
  0.176509   1.69772
  0.181162   1.65899
  0.183876   1.63574
  0.187755   1.60088
   0.19551   1.53502
  0.200161   1.50016
  0.204039    1.4653
  0.207911   1.44207
  0.212948   1.40722
   0.21837   1.37237
  0.223404    1.3414
  0.228045   1.32206
  0.231919   1.29495
  0.237716    1.2795
  0.244296   1.24467
  0.252798    1.2215
  0.257825   1.20217
  0.260919   1.19057
  0.265172   1.17511
  0.270578   1.16742
  0.278688   1.15588
  0.283708   1.14819
  0.289503   1.13662
  0.298384    1.1251
  0.305718   1.12132
   0.31035    1.1175
  0.314211   1.11367
  0.318071   1.10984
  0.322704   1.10602
  0.330037   1.10223
  0.337761   1.09069
  0.341617   1.09462
   0.34625    1.0908
  0.356286   1.08317
  0.361307   1.07548
  0.364782   1.07164
  0.369795   1.07559
  0.373268   1.07563
  0.380992   1.06409
  0.386008   1.06416
  0.389871   1.05645
  0.395284   1.03712
  0.399145   1.03329
  0.405711   1.02174
  0.414213  0.998567
  0.420402  0.971489
  0.426973  0.952176
  0.432007  0.921203
  0.438589  0.882491
  0.444783  0.847653
  0.449058  0.793392
  0.454099   0.75078
  0.458759  0.700404
  0.462649  0.646138
  0.466929  0.584118
   0.46965  0.549236
   0.47238  0.498835
  0.475882  0.448443
  0.478614  0.394162
  0.482116  0.343771
  0.483294  0.308869
  0.486414  0.250713
  0.488759  0.200307
  0.490717  0.149896
  0.493842 0.0839811
   0.49541 0.0413244
   0.496590.00254239
   
   
   
   
#schoolboys
#
# Density[P/ft²] Velocity[mile/h]
0.00147064   3.32501
0.00917275   3.32491
 0.0157196   3.32482
 0.0226489    3.3209
  0.028808   3.31699
 0.0349593   3.30157
 0.0407204   3.27848
 0.0457087   3.25157
 0.0503015   3.20933
 0.0533591   3.17477
 0.0564115   3.13255
 0.0586963   3.09417
 0.0609759   3.04812
  0.062873   3.00591
 0.0655404   2.96369
 0.0678096    2.9023
 0.0700815   2.84474
 0.0723611   2.79869
 0.0750155    2.7373
   0.07691   2.69125
 0.0799547   2.63752
 0.0822317   2.58764
 0.0852738   2.53007
 0.0890757   2.45715
 0.0928803   2.38807
 0.0959198   2.32667
 0.0993521   2.27677
  0.102019   2.23455
  0.105069   2.18849
  0.108124    2.1501
  0.110789   2.10405
  0.114601   2.04647
  0.118039   2.00424
  0.121471   1.95434
  0.125674   1.90443
  0.129884   1.86603
  0.133707   1.82379
  0.137144   1.78156
  0.140969   1.74316
  0.144795   1.70476
  0.149387   1.66252
  0.153593   1.61644
  0.157803   1.57804
  0.163161   1.52812
  0.168141    1.4897
  0.174277   1.45127
  0.178867   1.40519
  0.184238   1.37444
  0.189604   1.33602
   0.19459   1.30528
  0.200728   1.27068
  0.207639   1.23992
  0.212625   1.20917
  0.218763   1.17458
  0.226057   1.13997
  0.232206   1.12071
   0.23912   1.09378
  0.246809   1.07451
  0.256418   1.04754
  0.264498   1.03593
   0.27373   1.02047
  0.282585   1.01652
  0.291827    1.0164
   0.30184   1.01628
  0.310695   1.01233
  0.321478   1.01219
  0.333411   1.00437
  0.342656   1.00808
  0.350741   1.00415
  0.358828   1.00404
  0.368456   1.00392
  0.379236  0.999946
  0.390404  0.999803
   0.40157  0.995825
  0.411582  0.995697
   0.42236  0.987889
  0.431218  0.987776
  0.443538  0.983783
  0.458167  0.975926
  0.469333  0.971948
  0.481269  0.967961
  0.491659  0.956323
  0.499356  0.948554
  0.508585  0.929261
   0.51781  0.902297
  0.527414  0.867658
  0.534325  0.836889
  0.540846  0.798455
  0.546979  0.756191
  0.551944  0.694766
  0.556917  0.644846
   0.56151  0.602601
  0.565705  0.541186
  0.569522  0.491281
   0.57334  0.441376
  0.578295  0.364611
  0.582096  0.291696
  0.585911  0.237956
  0.589721  0.176546
  0.594293   0.10362
  0.597723 0.0498853
       0.6         0

